LAMMPS DATA file for 4*4*4-Ga2O3

1280 atoms
2 atom types

0.0 49.50744079 xlo xhi
0.0 12.33503135 ylo yhi
0.0 22.88864419 zlo zhi
0.0 -5.63553564 0.0 xy xz yz

Masses

1 69.723
2 15.999

Atoms #atomic

211 1 5.22749816 7.70939459 21.08863315
212 1 5.22749816 10.79315243 21.08863315
213 2 5.27129596 1.54187892 12.07647898
214 2 5.27129596 4.62563676 12.07647898
215 2 5.27129596 7.70939459 12.07647898
216 2 5.27129596 10.79315243 12.07647898
217 2 5.39114993 0.00000000 19.67092769
218 2 5.39114993 3.08375784 19.67092769
219 2 5.39114993 6.16751568 19.67092769
220 2 5.39114993 9.25127351 19.67092769
221 2 5.77060952 0.00000000 1.45575897
222 2 5.77060952 3.08375784 1.45575897
223 2 5.77060952 6.16751568 1.45575897
224 2 5.77060952 9.25127351 1.45575897
225 2 6.12972082 1.54187892 8.93987755
226 2 6.12972082 4.62563676 8.93987755
227 2 6.12972082 7.70939459 8.93987755
228 2 6.12972082 10.79315243 8.93987755
229 1 6.20268030 1.54187892 4.55760972
230 1 6.20268030 4.62563676 4.55760972
231 1 6.20268030 7.70939459 4.55760972
232 1 6.20268030 10.79315243 4.55760972
233 2 6.24957479 0.00000000 16.53432626
234 2 6.24957479 3.08375784 16.53432626
235 2 6.24957479 6.16751568 16.53432626
236 2 6.24957479 9.25127351 16.53432626
237 1 6.29337259 0.00000000 7.52217209
238 1 6.29337259 3.08375784 7.52217209
239 1 6.29337259 6.16751568 7.52217209
240 1 6.29337259 9.25127351 7.52217209
241 1 6.63638207 1.54187892 15.36647210
242 1 6.63638207 4.62563676 15.36647210
243 1 6.63638207 7.70939459 15.36647210
244 1 6.63638207 10.79315243 15.36647210
245 2 6.68017987 1.54187892 6.35431793
246 2 6.68017987 4.62563676 6.35431793
247 2 6.68017987 7.70939459 6.35431793
248 2 6.68017987 10.79315243 6.35431793
249 1 6.72707436 0.00000000 18.33103447
250 1 6.72707436 3.08375784 18.33103447
251 1 6.72707436 6.16751568 18.33103447
252 1 6.72707436 9.25127351 18.33103447
253 2 6.80003384 0.00000000 13.94876664
254 2 6.80003384 3.08375784 13.94876664
255 2 6.80003384 6.16751568 13.94876664
256 2 6.80003384 9.25127351 13.94876664
257 2 7.15914514 1.54187892 21.43288522
258 2 7.15914514 4.62563676 21.43288522
259 2 7.15914514 7.70939459 21.43288522
260 2 7.15914514 10.79315243 21.43288522
261 2 7.53860473 1.54187892 3.21771650
262 2 7.53860473 4.62563676 3.21771650
263 2 7.53860473 7.70939459 3.21771650
264 2 7.53860473 10.79315243 3.21771650
265 2 7.65845870 0.00000000 10.81216521
266 2 7.65845870 3.08375784 10.81216521
267 2 7.65845870 6.16751568 10.81216521
268 2 7.65845870 9.25127351 10.81216521
269 1 7.70225650 0.00000000 1.80001105
270 1 7.70225650 3.08375784 1.80001105
271 1 7.70225650 6.16751568 1.80001105
272 1 7.70225650 9.25127351 1.80001105
273 2 7.73238790 1.54187892 18.62224211
274 2 7.73238790 4.62563676 18.62224211
275 2 7.73238790 7.70939459 18.62224211
276 2 7.73238790 10.79315243 18.62224211
277 1 8.04526598 1.54187892 9.64431105
278 1 8.04526598 4.62563676 9.64431105
279 1 8.04526598 7.70939459 9.64431105
280 1 8.04526598 10.79315243 9.64431105
281 2 8.08906378 1.54187892 0.63215689
282 2 8.08906378 4.62563676 0.63215689
283 2 8.08906378 7.70939459 0.63215689
284 2 8.08906378 10.79315243 0.63215689
285 1 8.13595826 0.00000000 12.60887342
286 1 8.13595826 3.08375784 12.60887342
